# pitch accents for deck words, filtered from kanjium (github.com/mifunetoshiro/kanjium, CC BY-SA)
イベント	イベント	0
イメージ	イメージ	2
インストール	インストール	4
インセンティブ	インセンティブ	3
インタビュー	インタビュー	1
インターネット	インターネット	5
インターフェース	インターフェース	5
インフラ	インフラ	0
ウイルス	ウイルス	2
エアコン	エアコン	0
エキセントリック	エキセントリック	6
エゴイスト	エゴイスト	3
エスカレーター	エスカレーター	4
エチケット	エチケット	1
エネルギー	エネルギー	2
エリア	エリア	1
エレベーター	エレベーター	3
エージェント	エージェント	1
オフ	おふ	1
オフィス	オフィス	1
オフライン	オフライン	3
オリジナル	オリジナル	2
オンライン	オンライン	3
オーバー	オーバー	1
カオス	カオス	1
カット	かっと	1
カテゴリー	カテゴリー	2
カバー	カバー	1
カメラ	カメラ	1
カリスマ	カリスマ	0
カレンダー	カレンダー	2
カレー	カレー	0
カロリー	カロリー	1
カーソル	カーソル	1
カード	カード	1
カーブ	かーぶ	1
ガソリン	ガソリン	0
キャリア	キャリア	1
キャンセル	キャンセル	1
キャンペーン	キャンペーン	3
キーボード	キーボード	3
キーワード	キーワード	3
ギャップ	ぎゃっぷ	1
クライアント	クライアント	2
クラス	クラス	1
クリック	クリック	2
クリティカル	クリティカル	2
クレーム	クレーム	2
グラス	グラス	1
グループ	グループ	2
ケーキ	ケーキ	1
ケース	ケース	1
ケーブル	ケーブル	1
ゲーム	ゲーム	1
コスト	コスト	1
コップ	コップ	0
コミュニケーション	コミュニケーション	4
コメント	コメント	0
コンサルタント	コンサルタント	3
コンサート	コンサート	1
コンセプト	コンセプト	3
コンセンサス	コンセンサス	3
コンセント	コンセント	1
コンタクト	コンタクト	1
コンテンツ	コンテンツ	3
コントロール	コントロール	4
コンビ	コンビ	1
コンビニ	コンビニ	0
コンピューター	コンピューター	3
コンプライアンス	コンプライアンス	4
コンプレックス	コンプレックス	4
コース	コース	1
コーディネート	コーディネート	4
コート	コート	1
コード	コード	1
コーナー	コーナー	1
コーヒー	コーヒー	3
ゴール	ごーる	1
ゴール	ゴール	1
サイズ	サイズ	1
サイト	サイト	1
サイン	サイン	1
サッカー	サッカー	1
サブ	サブ	1
サポート	サポート	2
サラダ	サラダ	1
サンダル	サンダル	0
サンドイッチ	サンドイッチ	4
サンプル	サンプル	1
サーバー	サーバー	1
サービス	サービス	1
シェア	シェア	1
システム	システム	1
シナジー	シナジー	1
シニカル	シニカル	1
シビア	シビア	2
シミュレーション	シミュレーション	3
シャツ	シャツ	1
ショック	ショック	1
シンプル	シンプル	1
ジャンル	ジャンル	1
ジュース	ジュース	1
ジレンマ	じれんま	2
ジーンズ	ジーンズ	1
スイッチ	スイッチ	2
スカート	スカート	2
スキャナー	スキャナー	2
スキル	スキル	2
スクリーン	スクリーン	3
スクロール	スクロール	3
スケジュール	スケジュール	2
スタイル	スタイル	2
スタッフ	スタッフ	2
スタンダード	スタンダード	4
スタート	スタート	2
ステレオタイプ	ステレオタイプ	5
ステーキ	ステーキ	2
ステータス	ステータス	2
ストイック	ストイック	3
ストップ	ストップ	2
ストレス	ストレス	2
ストーブ	ストーブ	2
スピーカー	スピーカー	2
スピーチ	スピーチ	2
スピード	スピード	0
スプーン	スプーン	2
スペシャリスト	スペシャリスト	4
スペース	スペース	2
スポンサー	スポンサー	2
スポーツ	スポーツ	2
スマート	スマート	2
スリッパ	スリッパ	1
スーツ	スーツ	1
スーパー	スーパー	1
スープ	スープ	1
ズボン	ズボン	2
セット	セット	1
センサー	センサー	1
センス	センス	1
セーター	セーター	1
セール	セール	1
ゼロ	ゼロ	1
ソフト	ソフト	1
ソフトウェア	ソフトウェア	4
タイプ	タイプ	1
タイミング	タイミング	0
タイムラグ	タイムラグ	4
タオル	タオル	1
タクシー	タクシー	1
